"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0070555","response to interleukin-1","BP",167,0,0,1,1
"GO:0070646","protein modification by small protein removal","BP",167,0,0,1,1
"GO:0070647","protein modification by small protein conjugation or removal","BP",474,3,0,0.426112631586382,1
"GO:0071214","cellular response to abiotic stimulus","BP",246,1,0,0.714045065626953,1
"GO:0071345","cellular response to cytokine stimulus","BP",855,7,0,0.130983678390648,1
"GO:0071347","cellular response to interleukin-1","BP",146,0,0,1,1
"GO:0071356","cellular response to tumor necrosis factor","BP",223,1,0,0.678058165499476,1
"GO:0071478","cellular response to radiation","BP",136,0,0,1,1
"GO:0071479","cellular response to ionizing radiation","BP",50,0,0,1,1
"GO:0090085","regulation of protein deubiquitination","BP",6,0,0,1,1
"GO:0104004","cellular response to environmental stimulus","BP",246,1,0,0.714045065626953,1
"GO:1902532","negative regulation of intracellular signal transduction","BP",308,1,0,0.792581911322676,1
"GO:1903003","positive regulation of protein deubiquitination","BP",4,0,0,1,1
"GO:1903320","regulation of protein modification by small protein conjugation or removal","BP",127,1,0,0.473743614861336,1
"GO:1903322","positive regulation of protein modification by small protein conjugation or removal","BP",66,1,0,0.282855057539318,1
"GO:2000152","regulation of ubiquitin-specific protease activity","BP",3,0,0,1,1
"GO:2000158","positive regulation of ubiquitin-specific protease activity","BP",2,0,0,1,1
"GO:0043627","response to estrogen","BP",61,0,0,1,1
"GO:0045445","myoblast differentiation","BP",63,0,0,1,1
"GO:0045596","negative regulation of cell differentiation","BP",473,3,0,0.424755547708443,1
"GO:0045661","regulation of myoblast differentiation","BP",35,0,0,1,1
"GO:0045662","negative regulation of myoblast differentiation","BP",16,0,0,1,1
"GO:0071391","cellular response to estrogen stimulus","BP",9,0,0,1,1
"GO:0000209","protein polyubiquitination","BP",139,3,0,0.0320283990307219,1
"GO:0000226","microtubule cytoskeleton organization","BP",255,2,0,0.366534104875481,1
"GO:0000422","autophagy of mitochondrion","BP",39,0,0,1,1
"GO:0000423","mitophagy","BP",11,0,0,1,1
"GO:0006325","chromatin organization","BP",416,1,0,0.882095585674798,1
"GO:0006476","protein deacetylation","BP",48,0,0,1,1
"GO:0006511","ubiquitin-dependent protein catabolic process","BP",284,1,0,0.765066066288429,1
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","BP",13,0,0,1,1
"GO:0006914","autophagy","BP",243,0,1,1,0.260411165903998
"GO:0007017","microtubule-based process","BP",339,3,0,0.240235991817729,1
"GO:0007018","microtubule-based movement","BP",115,2,0,0.112737086577427,1
"GO:0007019","microtubule depolymerization","BP",16,0,0,1,1
"GO:0007026","negative regulation of microtubule depolymerization","BP",10,0,0,1,1
"GO:0009057","macromolecule catabolic process","BP",761,1,2,0.981524793161747,0.23757437791077
"GO:0009894","regulation of catabolic process","BP",579,0,2,1,0.155100321584922
"GO:0009896","positive regulation of catabolic process","BP",240,0,1,1,0.257613870095972
"GO:0010310","regulation of hydrogen peroxide metabolic process","BP",14,0,0,1,1
"GO:0010421","hydrogen peroxide-mediated programmed cell death","BP",10,0,0,1,1
"GO:0010469","regulation of signaling receptor activity","BP",91,0,0,1,1
"GO:0010506","regulation of autophagy","BP",183,0,1,1,0.202604124939215
"GO:0010508","positive regulation of autophagy","BP",69,0,0,1,1
"GO:0010638","positive regulation of organelle organization","BP",390,2,0,0.587515522822502,1
"GO:0010639","negative regulation of organelle organization","BP",216,0,0,1,1
"GO:0010727","negative regulation of hydrogen peroxide metabolic process","BP",7,0,0,1,1
"GO:0010821","regulation of mitochondrion organization","BP",107,0,0,1,1
"GO:0010822","positive regulation of mitochondrion organization","BP",73,0,0,1,1
"GO:0010869","regulation of receptor biosynthetic process","BP",19,0,0,1,1
"GO:0010870","positive regulation of receptor biosynthetic process","BP",11,0,0,1,1
"GO:0010942","positive regulation of cell death","BP",500,4,2,0.239681289602981,0.121866938570647
"GO:0016049","cell growth","BP",312,1,0,0.796850606532191,1
"GO:0016236","macroautophagy","BP",134,0,0,1,1
"GO:0016239","positive regulation of macroautophagy","BP",38,0,0,1,1
"GO:0016241","regulation of macroautophagy","BP",94,0,0,1,1
"GO:0016567","protein ubiquitination","BP",347,3,0,0.25102676875737,1
"GO:0016569","covalent chromatin modification","BP",246,0,0,1,1
"GO:0016570","histone modification","BP",239,0,0,1,1
"GO:0016575","histone deacetylation","BP",39,0,0,1,1
"GO:0018205","peptidyl-lysine modification","BP",199,0,0,1,1
"GO:0019941","modification-dependent protein catabolic process","BP",288,1,0,0.769887811175453,1
"GO:0022411","cellular component disassembly","BP",294,1,1,0.776939512920255,0.306522535587052
"GO:0030031","cell projection assembly","BP",233,2,0,0.326163902940379,1
"GO:0030163","protein catabolic process","BP",476,1,2,0.914118297790049,0.112215125104809
"GO:0030518","intracellular steroid hormone receptor signaling pathway","BP",94,0,0,1,1
"GO:0030521","androgen receptor signaling pathway","BP",49,0,0,1,1
"GO:0031109","microtubule polymerization or depolymerization","BP",53,0,0,1,1
"GO:0031110","regulation of microtubule polymerization or depolymerization","BP",41,0,0,1,1
"GO:0031111","negative regulation of microtubule polymerization or depolymerization","BP",18,0,0,1,1
"GO:0031114","regulation of microtubule depolymerization","BP",12,0,0,1,1
"GO:0031329","regulation of cellular catabolic process","BP",492,0,2,1,0.11862424884683
"GO:0031331","positive regulation of cellular catabolic process","BP",205,0,0,1,1
"GO:0031334","positive regulation of protein-containing complex assembly","BP",163,2,0,0.196194367726539,1
"GO:0031647","regulation of protein stability","BP",176,1,0,0.590215530243043,1
"GO:0032269","negative regulation of cellular protein metabolic process","BP",610,3,1,0.597541564665421,0.538622339966806
"GO:0032418","lysosome localization","BP",46,0,0,1,1
"GO:0032446","protein modification by small protein conjugation","BP",384,3,0,0.3017839338378,1
"GO:0032459","regulation of protein oligomerization","BP",33,0,0,1,1
"GO:0032461","positive regulation of protein oligomerization","BP",18,0,0,1,1
"GO:0032800","receptor biosynthetic process","BP",22,0,0,1,1
"GO:0032886","regulation of microtubule-based process","BP",111,1,0,0.429123878745768,1
"GO:0032984","protein-containing complex disassembly","BP",140,0,0,1,1
"GO:0033135","regulation of peptidyl-serine phosphorylation","BP",104,0,0,1,1
"GO:0033138","positive regulation of peptidyl-serine phosphorylation","BP",87,0,0,1,1
"GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","BP",53,0,0,1,1
"GO:0034599","cellular response to oxidative stress","BP",215,1,0,0.664531536751685,1
"GO:0034614","cellular response to reactive oxygen species","BP",130,0,0,1,1
"GO:0034983","peptidyl-lysine deacetylation","BP",3,0,0,1,1
"GO:0035601","protein deacylation","BP",51,0,0,1,1
"GO:0035690","cellular response to drug","BP",321,2,2,0.481400797672369,0.0565267689707593
"GO:0035966","response to topologically incorrect protein","BP",124,0,0,1,1
"GO:0035967","cellular response to topologically incorrect protein","BP",102,0,0,1,1
"GO:0036473","cell death in response to oxidative stress","BP",65,0,0,1,1
"GO:0036474","cell death in response to hydrogen peroxide","BP",23,0,0,1,1
"GO:0040007","growth","BP",649,6,1,0.10278627864484,0.561718627549659
"GO:0040029","regulation of gene expression, epigenetic","BP",183,0,0,1,1
"GO:0042743","hydrogen peroxide metabolic process","BP",45,0,0,1,1
"GO:0043068","positive regulation of programmed cell death","BP",458,4,1,0.194996683945236,0.437655003724703
"GO:0043086","negative regulation of catalytic activity","BP",487,3,1,0.44366186182464,0.4583433122114
"GO:0043112","receptor metabolic process","BP",131,0,1,1,0.149214553071224
"GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",7,0,0,1,1
"GO:0043242","negative regulation of protein-containing complex disassembly","BP",36,0,0,1,1
"GO:0043244","regulation of protein-containing complex disassembly","BP",62,0,0,1,1
"GO:0043254","regulation of protein-containing complex assembly","BP",262,2,0,0.379208315929036,1
"GO:0043624","cellular protein complex disassembly","BP",81,0,0,1,1
"GO:0043632","modification-dependent macromolecule catabolic process","BP",291,1,0,0.773440486495124,1
"GO:0044087","regulation of cellular component biogenesis","BP",539,3,0,0.511734450809914,1
"GO:0044089","positive regulation of cellular component biogenesis","BP",315,2,0,0.471445189185297,1
"GO:0044257","cellular protein catabolic process","BP",374,1,0,0.853006815581237,1
"GO:0044265","cellular macromolecule catabolic process","BP",601,1,1,0.955942339428816,0.533137726062227
"GO:0044782","cilium organization","BP",124,2,0,0.127584747670696,1
"GO:0045444","fat cell differentiation","BP",124,3,0,0.0238784985820207,1
"GO:0045598","regulation of fat cell differentiation","BP",74,2,0,0.0527420789824184,1
"GO:0045861","negative regulation of proteolysis","BP",222,2,0,0.30574866949887,1
"GO:0048588","developmental cell growth","BP",150,0,0,1,1
"GO:0048589","developmental growth","BP",452,4,1,0.188851887228181,0.433286011323844
"GO:0048668","collateral sprouting","BP",21,0,0,1,1
"GO:0051129","negative regulation of cellular component organization","BP",419,0,0,1,1
"GO:0051130","positive regulation of cellular component organization","BP",733,4,0,0.50585225271582,1
"GO:0051131","chaperone-mediated protein complex assembly","BP",14,0,0,1,1
"GO:0051193","regulation of cofactor metabolic process","BP",20,0,0,1,1
"GO:0051195","negative regulation of cofactor metabolic process","BP",7,0,0,1,1
"GO:0051259","protein complex oligomerization","BP",369,3,0,0.281073516311663,1
"GO:0051261","protein depolymerization","BP",57,0,0,1,1
"GO:0051276","chromosome organization","BP",642,4,0,0.402444775426289,1
"GO:0051354","negative regulation of oxidoreductase activity","BP",20,0,0,1,1
"GO:0051493","regulation of cytoskeleton organization","BP",314,0,0,1,1
"GO:0051494","negative regulation of cytoskeleton organization","BP",80,0,0,1,1
"GO:0051603","proteolysis involved in cellular protein catabolic process","BP",339,1,0,0.823499388273713,1
"GO:0051646","mitochondrion localization","BP",24,0,0,1,1
"GO:0051788","response to misfolded protein","BP",12,0,0,1,1
"GO:0060271","cilium assembly","BP",121,2,0,0.12258333486736,1
"GO:0060560","developmental growth involved in morphogenesis","BP",154,0,0,1,1
"GO:0060632","regulation of microtubule-based movement","BP",11,1,0,0.0537444187586444,1
"GO:0060765","regulation of androgen receptor signaling pathway","BP",21,0,0,1,1
"GO:0060996","dendritic spine development","BP",61,0,0,1,1
"GO:0060997","dendritic spine morphogenesis","BP",36,0,0,1,1
"GO:0061726","mitochondrion disassembly","BP",39,0,0,1,1
"GO:0061734","parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization","BP",4,0,0,1,1
"GO:0061912","selective autophagy","BP",25,0,0,1,1
"GO:0061919","process utilizing autophagic mechanism","BP",243,0,1,1,0.260411165903998
"GO:0062197","cellular response to chemical stress","BP",251,1,0,0.72133118985453,1
"GO:0070201","regulation of establishment of protein localization","BP",485,1,1,0.918121028525262,0.456939064960229
"GO:0070301","cellular response to hydrogen peroxide","BP",72,0,0,1,1
"GO:0070507","regulation of microtubule cytoskeleton organization","BP",100,0,0,1,1
"GO:0070841","inclusion body assembly","BP",20,0,0,1,1
"GO:0070842","aggresome assembly","BP",6,0,0,1,1
"GO:0070843","misfolded protein transport","BP",1,0,0,1,1
"GO:0070844","polyubiquitinated protein transport","BP",1,0,0,1,1
"GO:0070845","polyubiquitinated misfolded protein transport","BP",1,0,0,1,1
"GO:0070846","Hsp90 deacetylation","BP",1,0,0,1,1
"GO:0070848","response to growth factor","BP",515,6,1,0.0419378514558309,0.477659248879928
"GO:0070925","organelle assembly","BP",351,2,0,0.529484108301833,1
"GO:0070932","histone H3 deacetylation","BP",11,0,0,1,1
"GO:0071218","cellular response to misfolded protein","BP",10,0,0,1,1
"GO:0071236","cellular response to antibiotic","BP",113,0,0,1,1
"GO:0072593","reactive oxygen species metabolic process","BP",204,3,0,0.0816737484187472,1
"GO:0090034","regulation of chaperone-mediated protein complex assembly","BP",2,0,0,1,1
"GO:0090035","positive regulation of chaperone-mediated protein complex assembly","BP",2,0,0,1,1
"GO:0090042","tubulin deacetylation","BP",9,0,0,1,1
"GO:0097061","dendritic spine organization","BP",52,0,0,1,1
"GO:0097237","cellular response to toxic substance","BP",180,0,0,1,1
"GO:0097468","programmed cell death in response to reactive oxygen species","BP",10,0,0,1,1
"GO:0098732","macromolecule deacylation","BP",52,0,0,1,1
"GO:0098779","positive regulation of mitophagy in response to mitochondrial depolarization","BP",5,0,0,1,1
"GO:0098780","response to mitochondrial depolarisation","BP",11,0,0,1,1
"GO:0106027","neuron projection organization","BP",60,0,0,1,1
"GO:0120031","plasma membrane bounded cell projection assembly","BP",228,2,0,0.31689867269177,1
"GO:1900407","regulation of cellular response to oxidative stress","BP",59,0,0,1,1
"GO:1900409","positive regulation of cellular response to oxidative stress","BP",15,0,0,1,1
"GO:1901031","regulation of response to reactive oxygen species","BP",26,0,0,1,1
"GO:1901033","positive regulation of response to reactive oxygen species","BP",8,0,0,1,1
"GO:1901298","regulation of hydrogen peroxide-mediated programmed cell death","BP",8,0,0,1,1
"GO:1901300","positive regulation of hydrogen peroxide-mediated programmed cell death","BP",4,0,0,1,1
"GO:1901524","regulation of mitophagy","BP",8,0,0,1,1
"GO:1901526","positive regulation of mitophagy","BP",5,0,0,1,1
"GO:1901701","cellular response to oxygen-containing compound","BP",859,5,2,0.432648433161301,0.283768560070907
"GO:1901879","regulation of protein depolymerization","BP",45,0,0,1,1
"GO:1901880","negative regulation of protein depolymerization","BP",32,0,0,1,1
"GO:1902882","regulation of response to oxidative stress","BP",62,0,0,1,1
"GO:1902884","positive regulation of response to oxidative stress","BP",16,0,0,1,1
"GO:1902903","regulation of supramolecular fiber organization","BP",217,0,0,1,1
"GO:1902904","negative regulation of supramolecular fiber organization","BP",77,0,0,1,1
"GO:1903008","organelle disassembly","BP",53,0,0,1,1
"GO:1903146","regulation of autophagy of mitochondrion","BP",26,0,0,1,1
"GO:1903201","regulation of oxidative stress-induced cell death","BP",50,0,0,1,1
"GO:1903205","regulation of hydrogen peroxide-induced cell death","BP",19,0,0,1,1
"GO:1903209","positive regulation of oxidative stress-induced cell death","BP",13,0,0,1,1
"GO:1903599","positive regulation of autophagy of mitochondrion","BP",12,0,0,1,1
"GO:1904923","regulation of autophagy of mitochondrion in response to mitochondrial depolarization","BP",7,0,0,1,1
"GO:1904925","positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization","BP",7,0,0,1,1
"GO:1905206","positive regulation of hydrogen peroxide-induced cell death","BP",5,0,0,1,1
"GO:2000377","regulation of reactive oxygen species metabolic process","BP",142,2,0,0.158532507639251,1
"GO:2000378","negative regulation of reactive oxygen species metabolic process","BP",42,0,0,1,1
"GO:2001023","regulation of response to drug","BP",69,0,0,1,1
"GO:2001025","positive regulation of response to drug","BP",24,0,0,1,1
"GO:2001038","regulation of cellular response to drug","BP",29,0,0,1,1
"GO:2001040","positive regulation of cellular response to drug","BP",9,0,0,1,1
